"date","countryIsoCode","userAgeBracket","sessions","sessionDuration","pageviews","bounces","transactions","itemQuantity","transactionRevenue","id"
"2016-07-24","US","18-24","33","2846.0","98","18","0","0","0.0","7391"
"2016-07-24","US","25-34","57","8791.0","185","24","0","0","0.0","7392"
"2016-07-24","US","35-44","47","12687.0","245","17","0","0","0.0","7393"
"2016-07-24","US","45-54","41","7555.0","149","18","1","5","54.44","7394"
"2016-07-24","US","55-64","27","5940.0","165","4","0","0","0.0","7395"
"2016-07-24","US","65+","13","2082.0","83","4","0","0","0.0","7396"
"2015-09-28","CA","25-34","44","9860.0","237","8","0","0","0.0","1029"
"2015-09-28","CA","35-44","32","7336.0","223","8","0","0","0.0","1030"
"2015-09-28","CA","45-54","22","1365.0","89","6","0","0","0.0","1031"
"2015-09-28","GB","25-34","12","3368.0","45","4","0","0","0.0","1032"
"2015-09-28","GB","35-44","13","1958.0","34","4","0","0","0.0","1033"
"2016-07-27","AU","25-34","12","1158.0","21","6","0","0","0.0","7914"
"2016-07-27","CA","25-34","30","6748.0","140","10","0","0","0.0","7915"
"2016-07-27","CA","35-44","17","5030.0","47","6","0","0","0.0","7916"
"2016-07-27","GB","35-44","13","135.0","22","8","0","0","0.0","7917"
"2016-07-27","IT","25-34","17","729.0","35","7","0","0","0.0","7918"
"2015-09-28","GB","45-54","11","1897.0","38","5","0","0","0.0","1034"
"2015-09-28","IT","25-34","14","567.0","48","5","0","0","0.0","1035"
"2015-09-28","IT","35-44","13","699.0","44","8","0","0","0.0","1036"
"2015-09-28","US","18-24","23","6852.0","137","10","0","0","0.0","1037"
"2015-09-28","US","25-34","190","44669.0","1134","44","2","24","5163.25","1038"
"2015-09-28","US","35-44","164","34934.0","855","44","1","1","64.0","1039"
"2015-09-28","US","45-54","114","22006.0","715","29","2","4","959.05","1040"
"2015-09-28","US","55-64","66","12187.0","272","20","0","0","0.0","1041"
"2016-07-27","US","18-24","51","3586.0","132","21","0","0","0.0","7919"
"2016-07-27","US","25-34","221","42828.0","1078","65","1","2","185.3","7920"
"2016-07-27","US","35-44","120","29112.0","666","28","0","0","0.0","7921"
"2016-07-27","US","45-54","79","22739.0","484","13","0","0","0.0","7922"
"2016-07-27","US","55-64","49","9418.0","224","12","0","0","0.0","7923"
"2016-07-30","US","18-24","21","1448.0","75","8","0","0","0.0","8408"
"2016-07-30","US","25-34","52","5486.0","165","23","0","0","0.0","8409"
"2016-07-30","US","35-44","60","12262.0","368","20","1","1","402.84","8410"
"2015-09-28","US","65+","22","4842.0","145","2","0","0","0.0","1042"
"2015-12-09","CA","25-34","28","1973.0","114","7","0","0","0.0","2483"
"2015-12-09","CA","35-44","11","1130.0","59","4","0","0","0.0","2484"
"2015-12-09","CA","45-54","11","937.0","40","5","1","2","209.95","2485"
"2015-12-09","IT","35-44","17","3666.0","84","10","0","0","0.0","2486"
"2015-12-09","US","18-24","60","9957.0","289","25","0","0","0.0","2487"
"2015-12-09","US","25-34","283","57921.0","1351","76","2","2","423.53","2488"
"2015-12-09","US","35-44","203","44219.0","1051","52","2","3","346.12","2489"
"2015-12-09","US","45-54","110","43775.0","549","40","1","4","78.48","2490"
"2015-12-09","US","55-64","109","22054.0","454","47","1","12","78.39","2491"
"2015-08-04","CA","25-34","27","1999.0","217","0","0","0","0.0","43"
"2015-08-04","CA","35-44","24","10795.0","315","0","0","0","0.0","44"
"2015-08-04","GB","25-34","11","2596.0","45","0","0","0","0.0","45"
"2015-08-04","GB","35-44","16","4286.0","96","0","0","0","0.0","46"
"2015-08-04","US","18-24","36","7790.0","243","0","0","0","0.0","47"
"2015-08-04","US","25-34","213","59406.0","2561","5","1","4","1403.0","48"
"2015-08-04","US","35-44","144","27432.0","1563","2","4","8","1970.5","49"
"2015-08-04","US","45-54","81","17989.0","787","1","1","1","65.0","50"
"2015-08-04","US","55-64","56","7884.0","482","1","1","2","10.0","51"
"2015-08-04","US","65+","27","6687.0","297","1","1","6","54.0","52"
"2015-12-09","US","65+","41","3179.0","153","20","0","0","0.0","2492"
"2016-02-27","IT","25-34","14","3228.0","67","6","0","0","0.0","3883"
"2016-02-27","IT","35-44","18","1624.0","31","14","0","0","0.0","3884"
"2016-02-27","US","18-24","31","2247.0","93","10","0","0","0.0","3885"
"2015-09-29","CA","25-34","28","13617.0","201","7","0","0","0.0","1056"
"2015-09-29","CA","35-44","34","3025.0","156","12","0","0","0.0","1057"
"2015-08-05","CA","25-34","27","3983.0","173","1","0","0","0.0","61"
