"date","countryIsoCode","userGender","sessions","sessionDuration","pageviews","bounces","transactions","itemQuantity","transactionRevenue","id"
"2016-07-24","AU","female","12","7026.0","41","4","0","0","0.0","6331"
"2016-07-24","GB","female","12","190.0","19","6","0","0","0.0","6332"
"2016-07-24","IT","female","15","491.0","36","7","0","0","0.0","6333"
"2016-07-24","US","female","108","18772.0","475","37","0","0","0.0","6334"
"2015-12-13","CA","male","14","3030.0","62","4","0","0","0.0","2071"
"2015-12-13","GB","female","11","780.0","23","6","0","0","0.0","2072"
"2016-07-24","US","male","113","21150.0","456","50","1","5","54.44","6335"
"2016-07-27","CA","female","33","12459.0","173","4","0","0","0.0","6761"
"2016-07-27","CA","male","29","2081.0","73","18","0","0","0.0","6762"
"2016-07-27","CN","female","12","11422.0","118","3","0","0","0.0","6763"
"2015-10-16","CA","female","52","9046.0","201","16","0","0","0.0","1055"
"2015-10-16","CA","male","31","3859.0","108","11","1","1","98.25","1056"
"2015-10-16","GB","female","29","3659.0","176","12","0","0","0.0","1057"
"2015-10-16","GB","male","20","1899.0","68","15","0","0","0.0","1058"
"2015-10-16","IT","female","15","721.0","38","9","0","0","0.0","1059"
"2016-07-27","GB","female","10","26.0","12","8","0","0","0.0","6764"
"2016-07-27","GB","male","18","700.0","40","10","0","0","0.0","6765"
"2016-07-27","IT","female","19","391.0","37","8","0","0","0.0","6766"
"2016-07-27","US","female","289","63807.0","1270","76","1","2","185.3","6767"
"2016-07-27","US","male","257","51007.0","1427","69","0","0","0.0","6768"
"2015-08-04","CA","female","34","8930.0","310","0","0","0","0.0","30"
"2015-08-04","CA","male","34","6869.0","345","0","0","0","0.0","31"
"2015-08-04","GB","female","16","1790.0","81","0","0","0","0.0","32"
"2015-08-04","GB","male","24","7408.0","156","0","0","0","0.0","33"
"2015-08-04","IT","male","14","4164.0","173","2","0","0","0.0","34"
"2015-08-04","US","female","323","80193.0","3359","6","5","12","3435.0","35"
"2015-08-04","US","male","245","49039.0","2683","5","3","9","67.5","36"
"2015-08-05","CA","female","40","3941.0","272","1","0","0","0.0","42"
"2015-08-05","CA","male","24","5972.0","431","0","0","0","0.0","43"
"2015-08-05","GB","male","15","2000.0","82","0","0","0","0.0","44"
"2015-08-05","US","female","277","57173.0","2601","6","1","1","445.0","45"
"2015-08-05","US","male","257","57569.0","2778","1","1","1","595.0","46"
"2015-08-06","CA","female","37","6794.0","430","1","0","0","0.0","54"
"2015-08-06","CA","male","24","18237.0","368","0","0","0","0.0","55"
"2015-08-06","GB","female","14","2320.0","88","0","0","0","0.0","56"
"2015-08-06","GB","male","15","5541.0","116","0","0","0","0.0","57"
"2015-08-06","IT","male","18","12814.0","531","1","0","0","0.0","58"
"2015-08-06","US","female","269","82850.0","2996","5","1","1","55.0","59"
"2015-08-06","US","male","273","52571.0","2255","7","3","7","1730.0","60"
"2015-08-07","CA","female","31","2293.0","285","0","0","0","0.0","67"
"2015-08-07","CA","male","24","4480.0","346","0","0","0","0.0","68"
"2015-08-07","GB","female","18","3440.0","165","0","0","0","0.0","69"
"2015-08-07","GB","male","11","840.0","71","0","0","0","0.0","70"
"2015-08-07","US","female","231","61976.0","2066","3","0","0","0.0","71"
"2015-08-07","US","male","211","38578.0","2162","4","0","0","0.0","72"
"2015-08-08","CA","female","19","15661.0","386","0","0","0","0.0","78"
"2015-08-08","CA","male","14","780.0","86","0","0","0","0.0","79"
"2015-08-08","GB","male","11","540.0","66","0","0","0","0.0","80"
"2015-08-08","US","female","114","17701.0","905","3","0","0","0.0","81"
"2015-08-08","US","male","109","27166.0","1218","1","1","2","20.0","82"
"2015-08-09","CA","female","11","1518.0","87","0","0","0","0.0","89"
"2015-08-09","CA","male","10","922.0","100","0","0","0","0.0","90"
"2015-08-09","GB","female","14","1731.0","91","2","0","0","0.0","91"
"2015-08-09","GB","male","23","1690.0","62","0","0","0","0.0","92"
"2015-08-09","US","female","95","14280.0","833","3","1","1","275.0","93"
"2015-08-09","US","male","110","17021.0","970","3","0","0","0.0","94"
"2015-08-10","CA","female","39","13528.0","511","0","0","0","0.0","101"
