"date","countryIsoCode","userType","sessions","sessionDuration","pageviews","bounces","transactions","itemQuantity","transactionRevenue","id"
"2016-07-24","AE","New Visitor","6","713.0","16","2","0","0","0.0","91583"
"2016-07-24","AE","Returning Visitor","4","1588.0","61","0","0","0","0.0","91584"
"2016-07-24","AR","New Visitor","4","219.0","6","2","0","0","0.0","91585"
"2016-07-24","AR","Returning Visitor","4","5192.0","17","0","0","0","0.0","91586"
"2016-07-24","AT","New Visitor","2","63.0","4","1","0","0","0.0","91587"
"2016-07-24","AT","Returning Visitor","2","151.0","11","0","0","0","0.0","91588"
"2016-07-24","AU","New Visitor","18","2959.0","44","8","0","0","0.0","91589"
"2016-07-24","AU","Returning Visitor","6","5477.0","27","1","0","0","0.0","91590"
"2016-07-24","BD","Returning Visitor","2","16.0","4","1","0","0","0.0","91591"
"2016-07-24","BE","New Visitor","5","283.0","20","4","0","0","0.0","91592"
"2016-07-24","BE","Returning Visitor","1","156.0","14","0","0","0","0.0","91593"
"2016-07-24","BG","New Visitor","2","0.0","2","2","0","0","0.0","91594"
"2016-07-24","BH","New Visitor","1","0.0","1","1","0","0","0.0","91595"
"2016-07-24","BH","Returning Visitor","3","1117.0","19","1","0","0","0.0","91596"
"2016-07-24","BR","New Visitor","12","652.0","40","8","0","0","0.0","91597"
"2016-07-24","BR","Returning Visitor","3","3435.0","41","1","0","0","0.0","91598"
"2016-07-24","CA","New Visitor","22","3294.0","95","9","0","0","0.0","91599"
"2016-07-24","CA","Returning Visitor","4","0.0","4","4","0","0","0.0","91600"
"2016-07-24","CH","New Visitor","6","841.0","53","1","0","0","0.0","91601"
"2016-07-24","CH","Returning Visitor","2","0.0","2","2","0","0","0.0","91602"
"2016-07-24","CL","New Visitor","2","236.0","10","0","0","0","0.0","91603"
"2016-07-24","CL","Returning Visitor","1","49.0","3","0","0","0","0.0","91604"
"2016-07-24","CN","New Visitor","9","3686.0","37","1","0","0","0.0","91605"
"2016-07-24","CN","Returning Visitor","7","2414.0","22","5","0","0","0.0","91606"
"2016-07-24","CO","New Visitor","2","1145.0","54","0","0","0","0.0","91607"
"2016-07-24","CO","Returning Visitor","1","55.0","2","0","0","0","0.0","91608"
"2016-07-24","CY","New Visitor","1","0.0","1","1","0","0","0.0","91609"
"2016-07-24","CZ","New Visitor","2","10.0","3","1","0","0","0.0","91610"
"2016-07-24","DE","New Visitor","12","699.0","32","6","0","0","0.0","91611"
"2016-07-24","DE","Returning Visitor","3","105.0","4","1","0","0","0.0","91612"
"2016-07-24","DK","New Visitor","3","0.0","3","3","0","0","0.0","91613"
"2016-07-24","DO","New Visitor","1","411.0","10","0","0","0","0.0","91614"
"2016-07-24","EC","New Visitor","2","53.0","7","0","0","0","0.0","91615"
"2016-07-24","ES","New Visitor","6","153.0","9","3","0","0","0.0","91616"
"2016-07-24","ES","Returning Visitor","3","0.0","3","3","0","0","0.0","91617"
"2016-07-24","FI","New Visitor","3","72.0","7","2","0","0","0.0","91618"
"2016-07-24","FR","New Visitor","11","55.0","16","9","0","0","0.0","91619"
"2016-07-24","FR","Returning Visitor","1","0.0","1","1","0","0","0.0","91620"
"2016-07-24","GB","New Visitor","28","366.0","49","17","0","0","0.0","91621"
"2016-07-24","GB","Returning Visitor","3","52.0","4","2","0","0","0.0","91622"
"2016-07-24","GR","New Visitor","4","797.0","14","1","0","0","0.0","91623"
"2016-07-24","GR","Returning Visitor","1","15.0","3","0","0","0","0.0","91624"
"2016-07-24","HK","New Visitor","3","768.0","5","2","0","0","0.0","91625"
"2016-07-24","HK","Returning Visitor","3","105.0","5","2","0","0","0.0","91626"
"2016-07-24","HR","New Visitor","1","0.0","1","1","0","0","0.0","91627"
"2016-07-24","HR","Returning Visitor","2","781.0","6","1","0","0","0.0","91628"
"2016-07-24","ID","New Visitor","1","0.0","1","1","0","0","0.0","91629"
"2016-07-24","IE","New Visitor","4","0.0","4","4","0","0","0.0","91630"
